         4658 function calls (4644 primitive calls) in 6.893 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    6.828    0.083    6.828    0.083 {built-in method select.select}
       71    0.050    0.001    0.050    0.001 _connection_base.py:425(_connect_gen)
       66    0.001    0.000    5.442    0.082 selectors.py:310(select)
        5    0.001    0.000    0.001    0.000 {built-in method _io.open}
        5    0.001    0.000    5.494    1.099 waiting.py:71(wait_conn)
        2    0.001    0.000    0.002    0.001 configparser.py:1054(_read_inner)
       10    0.001    0.000    0.001    0.000 conninfo.py:94(_parse_conninfo)
       66    0.000    0.000    5.440    0.082 selectors.py:304(_select)
       82    0.000    0.000    0.050    0.001 {method 'send' of 'generator' objects}
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
       11    0.000    0.000    0.000    0.000 _connection_base.py:434(_exec_command)
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.000    0.000 connection.py:162(close)
        5    0.000    0.000    5.496    1.099 dbmanager.py:33(connect)
        3    0.000    0.000    1.390    0.463 waiting.py:228(wait_select)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       30    0.000    0.000    0.000    0.000 selectors.py:238(register)
       30    0.000    0.000    0.000    0.000 selectors.py:297(unregister)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       11    0.000    0.000    0.001    0.000 _cursor_base.py:265(_maybe_prepare_gen)
      436    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD805908A0}
      256    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       30    0.000    0.000    0.001    0.000 selectors.py:289(register)
       46    0.000    0.000    0.000    0.000 configparser.py:572(_strip_inline)
        3    0.000    0.000    0.000    0.000 _cursor_base.py:406(_execute_send)
       28    0.000    0.000    0.000    0.000 configparser.py:1129(_handle_option)
      360    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       71    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        5    0.000    0.000    5.496    1.099 connection.py:79(connect)
      114    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       90    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 configparser.py:1343(__init__)
       12    0.000    0.000    0.000    0.000 configparser.py:1266(__init__)
      177    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       46    0.000    0.000    0.000    0.000 configparser.py:584(_strip_full)
    20/10    0.000    0.000    0.000    0.000 configparser.py:794(get)
